,svspp,pynam,result,total,percentages
87,Redhake,GOBIIDAE,2.5,22111.7,0.0113
88,Redhake,BLENNIIDAE,2.4,22111.7,0.0109
89,Redhake,STOMATOPODA,2.4,22111.7,0.0109
90,Redhake,HYPERIIDAE,2.3,22111.7,0.0104
91,Redhake,WOOD,2.3,22111.7,0.0104
92,Redhake,ECHINODERMATA,2.1,22111.7,0.0095
93,Redhake,NEMERTEA,2.1,22111.7,0.0095
94,Redhake,BOTHIDAE,2,22111.7,0.009
95,Redhake,LYCENCHELYS VERRILLI,2,22111.7,0.009
96,Redhake,MELANOSTIGMA ATLANTICUM,2,22111.7,0.009
97,Redhake,MYTILIDAE,1.8,22111.7,0.0081
98,Redhake,ANTHOZOA,1.5,22111.7,0.0068
99,Redhake,CHLOROPHTHALMIDAE,1.5,22111.7,0.0068
100,Redhake,POLITOLANA POLITA,1.5,22111.7,0.0068
101,Redhake,MOLLUSCA SHELL,1.2,22111.7,0.0054
102,Redhake,AMPELISCIDAE,1,22111.7,0.0045
103,Redhake,CYCLOCARDIA SP,1,22111.7,0.0045
104,Redhake,ENGRAULIDAE,1,22111.7,0.0045
105,Redhake,PLASTIC,1,22111.7,0.0045
106,Redhake,LOLLIGUNCULA BREVIS,0.9,22111.7,0.0041
107,Redhake,ZOSTERA MARINA,0.9,22111.7,0.0041
108,Redhake,PALAEMONIDAE,0.8,22111.7,0.0036
109,Redhake,PLEURONECTIFORMES LARVAE,0.8,22111.7,0.0036
110,Redhake,ULVARIA SUBBIFURCATA,0.8,22111.7,0.0036
111,Redhake,ANOMIA SP,0.6,22111.7,0.0027
112,Redhake,CIRRIPEDIA,0.5,22111.7,0.0023
113,Redhake,CUMACEA,0.5,22111.7,0.0023
114,Redhake,SOLENIDAE,0.5,22111.7,0.0023
115,Redhake,CIROLANIDAE,0.3,22111.7,0.0014
116,Redhake,CTENOPHORA,0.3,22111.7,0.0014
117,Redhake,SPIRONTOCARIS SP,0.3,22111.7,0.0014
118,Redhake,EMERITA TALPOIDA,0.2,22111.7,9.00E-04
119,Redhake,OVALIPES SP,0.2,22111.7,9.00E-04
120,Redhake,SCYLLARIDAE,0.2,22111.7,9.00E-04
121,Redhake,SCYPHOZOA,0.2,22111.7,9.00E-04
122,Redhake,OPHIDIIDAE,0.1,22111.7,5.00E-04
123,Redhake,EMPTY,0,22111.7,0
