"","svspp","pynam","result","total","percentages"
"128",76,"SCYPHOZOA",10.5,87948.9,0.0119
"129",76,"HELICOLENUS DACTYLOPTERUS",10,87948.9,0.0114
"130",76,"MELANOSTIGMA ATLANTICUM",8.6,87948.9,0.0098
"131",76,"CIROLANIDAE",8.3,87948.9,0.0094
"132",76,"SCHIZASTERIDAE",8,87948.9,0.0091
"133",76,"AUXIS SP",6.9,87948.9,0.0078
"134",76,"BIVALVIA",6.9,87948.9,0.0078
"135",76,"APHRODITIDAE",5.5,87948.9,0.0063
"136",76,"MOLLUSCA",5.4,87948.9,0.0061
"137",76,"AXIIDAE",5,87948.9,0.0057
"138",76,"BLENNIIDAE",5,87948.9,0.0057
"139",76,"CRUSTACEA LARVAE",5,87948.9,0.0057
"140",76,"LUMPENUS MACULATUS",5,87948.9,0.0057
"141",76,"STOMATOPODA",5,87948.9,0.0057
"142",76,"CAPRELLIDAE",4.8,87948.9,0.0055
"143",76,"UROPHYCIS SP",4,87948.9,0.0045
"144",76,"FISH LARVAE",3.3,87948.9,0.0038
"145",76,"CALOCARIS SP",3,87948.9,0.0034
"146",76,"CTENOPHORA",3,87948.9,0.0034
"147",76,"DICHELOPANDALUS LEPTOCERUS",3,87948.9,0.0034
"148",76,"COTTIDAE",2.9,87948.9,0.0033
"149",76,"EUNICIDAE",2.7,87948.9,0.0031
"150",76,"BOTHIDAE",1.6,87948.9,0.0018
"151",76,"MOLLUSCA SHELL",1.5,87948.9,0.0017
"152",76,"PASIPHAEA SP",1.5,87948.9,0.0017
"153",76,"ASTEROIDEA",1.2,87948.9,0.0014
"154",76,"LIPARIS SP",1.2,87948.9,0.0014
"155",76,"ASPIDOPHOROIDES MONOPTERYGIUS",1,87948.9,0.0011
"156",76,"HYDROZOA",1,87948.9,0.0011
"157",76,"LUMPENUS LUMPRETAEFORMIS",0.8,87948.9,9e-04
"158",76,"MACROALGAE",0.8,87948.9,9e-04
"159",76,"BROSME BROSME",0.5,87948.9,6e-04
"160",76,"COPEPODA",0.5,87948.9,6e-04
"161",76,"POLITOLANA POLITA",0.5,87948.9,6e-04
"162",76,"PYCNOGONIDAE",0.4,87948.9,5e-04
"163",76,"BRACHIOPODA",0.1,87948.9,1e-04
"164",76,"HYPERIIDAE",0.1,87948.9,1e-04
"165",76,"EMPTY",0,87948.9,0
"166",77,"CRUSTACEA SHRIMP",3408,22111.7,15.4127
"167",77,"FISH",2935.3,22111.7,13.2749
"168",77,"EUPHAUSIIDAE",2752.1,22111.7,12.4464
"169",77,"MERLUCCIUS BILINEARIS",1237.1,22111.7,5.5948
"170",77,"AMPHIPODA",936.7,22111.7,4.2362
"171",77,"AMMODYTES SP",865.8,22111.7,3.9156
"172",77,"PANDALIDAE",710,22111.7,3.211
"173",77,"DECAPODA CRAB",668.2,22111.7,3.0219
"174",77,"ANIMAL REMAINS",664.8,22111.7,3.0066
"175",77,"DECAPODA SHRIMP",661.9,22111.7,2.9934
"176",77,"POLYCHAETA",609.6,22111.7,2.7569
"177",77,"LOLIGO SP",544.5,22111.7,2.4625
"178",77,"CRANGON SEPTEMSPINOSA",484.3,22111.7,2.1902
"179",77,"CEPHALOPODA",422.4,22111.7,1.9103
"180",77,"MELANOGRAMMUS AEGLEFINUS",368.5,22111.7,1.6665
"181",77,"BIVALVIA",345.2,22111.7,1.5612
"182",77,"CRUSTACEA",306.9,22111.7,1.388
"183",77,"MYXINIDAE",270,22111.7,1.2211
"184",77,"ISOPODA",248.3,22111.7,1.1229
"185",77,"CLUPEA HARENGUS",232,22111.7,1.0492
"186",77,"CLUPEIDAE",222,22111.7,1.004
"187",77,"CANCER SP",204.5,22111.7,0.9248
"188",77,"PAGURIDAE",186.7,22111.7,0.8443
"189",77,"UROPHYCIS CHUSS",171.3,22111.7,0.7747
"190",77,"GAMMARIDEA",168.4,22111.7,0.7616
"191",77,"SCOMBRIDAE",156,22111.7,0.7055
"192",77,"CANCER IRRORATUS",154.2,22111.7,0.6974
"193",77,"CANCER BOREALIS",148.3,22111.7,0.6707
"194",77,"MACROZOARCES AMERICANUS",140,22111.7,0.6331
"195",77,"MOLLUSCA",134.6,22111.7,0.6087
"196",77,"GALATHEIDAE",125.3,22111.7,0.5667
"197",77,"PLEURONECTIFORMES",119.4,22111.7,0.54
"198",77,"COPEPODA",106.3,22111.7,0.4807
"199",77,"CAPRELLIDAE",102.1,22111.7,0.4617
"200",77,"ILLEX SP",102,22111.7,0.4613
"201",77,"CITHARICHTHYS ARCTIFRONS",91.1,22111.7,0.412
"202",77,"MYSIDACEA",89.8,22111.7,0.4061
"203",77,"PECTINIDAE",88.8,22111.7,0.4016
"204",77,"ANIMAL EGGS",67.5,22111.7,0.3053
"205",77,"APHRODITIDAE",58.4,22111.7,0.2641
"206",77,"DECAPODA",57.3,22111.7,0.2591
"207",77,"ENCHELYOPUS CIMBRIUS",49.5,22111.7,0.2239
"208",77,"GADUS MORHUA",41.5,22111.7,0.1877
"209",77,"SQUALUS ACANTHIAS",40.5,22111.7,0.1832
"210",77,"PAGURUS SP",37.5,22111.7,0.1696
"211",77,"SEPIOLIDAE",34.2,22111.7,0.1547
"212",77,"OCTOPODA",31.6,22111.7,0.1429
"213",77,"ANGUILLIFORMES",30.6,22111.7,0.1384
"214",77,"PECTINIDAE VISCERA",30,22111.7,0.1357
"215",77,"GADIDAE",28.1,22111.7,0.1271
"216",77,"AXIIDAE",27.2,22111.7,0.123
"217",77,"APHRODITA HASTATA",27.1,22111.7,0.1226
"218",77,"FISH EGGS",23,22111.7,0.104
"219",77,"HOLOTHUROIDEA",20.8,22111.7,0.0941
"220",77,"MACROALGAE",19.5,22111.7,0.0882
"221",77,"GASTROPODA",19,22111.7,0.0859
"222",77,"ETROPUS MICROSTOMUS",14.6,22111.7,0.066
"223",77,"CHAETOGNATHA",14.4,22111.7,0.0651
"224",77,"HOMARUS AMERICANUS",14.4,22111.7,0.0651
"225",77,"PANDALUS BOREALIS",14,22111.7,0.0633
"226",77,"OPHIUROIDEA",13.7,22111.7,0.062
"227",77,"ECHINOIDEA",12.6,22111.7,0.057
"228",77,"ANCHOA MITCHILLI",11.8,22111.7,0.0534
"229",77,"SIPUNCULA",11,22111.7,0.0497
"230",77,"EUPHAUSIA SP",10.3,22111.7,0.0466
"231",77,"ACTINIARIA",10,22111.7,0.0452
"232",77,"UROCHORDATA",10,22111.7,0.0452
"233",77,"DICHELOPANDALUS LEPTOCERUS",9.8,22111.7,0.0443
"234",77,"SCOMBER SCOMBRUS",9.5,22111.7,0.043
"235",77,"OPHICHTHIDAE",9,22111.7,0.0407
"236",77,"ROCK",7.7,22111.7,0.0348
"237",77,"ARTHROPODA",6.5,22111.7,0.0294
"238",77,"HEMITRIPTERUS AMERICANUS",6,22111.7,0.0271
"239",77,"NEMATODA",5.7,22111.7,0.0258
"240",77,"ASCIDIACEA",5.5,22111.7,0.0249
"241",77,"LEPOPHIDIUM PROFUNDORUM",5.4,22111.7,0.0244
"242",77,"MYOXOCEPHALUS OCTODECEMSPINOSUS",5.1,22111.7,0.0231
"243",77,"CRUSTACEA LARVAE",5,22111.7,0.0226
"244",77,"MYCTOPHIDAE",5,22111.7,0.0226
"245",77,"SYNGNATHIDAE",5,22111.7,0.0226
"246",77,"FISH LARVAE",4.6,22111.7,0.0208
"247",77,"PAGURUS ACADIANUS",4.1,22111.7,0.0185
"248",77,"GERYON SP",4,22111.7,0.0181
"249",77,"LUMPENUS MACULATUS",3.6,22111.7,0.0163
"250",77,"CNIDARIA",3.5,22111.7,0.0158
"251",77,"ASPIDOPHOROIDES MONOPTERYGIUS",2.5,22111.7,0.0113
"252",77,"GOBIIDAE",2.5,22111.7,0.0113
"253",77,"BLENNIIDAE",2.4,22111.7,0.0109
"254",77,"STOMATOPODA",2.4,22111.7,0.0109
"255",77,"HYPERIIDAE",2.3,22111.7,0.0104
"256",77,"WOOD",2.3,22111.7,0.0104
"257",77,"ECHINODERMATA",2.1,22111.7,0.0095
"258",77,"NEMERTEA",2.1,22111.7,0.0095
"259",77,"BOTHIDAE",2,22111.7,0.009
"260",77,"LYCENCHELYS VERRILLI",2,22111.7,0.009
"261",77,"MELANOSTIGMA ATLANTICUM",2,22111.7,0.009
"262",77,"MYTILIDAE",1.8,22111.7,0.0081
"263",77,"ANTHOZOA",1.5,22111.7,0.0068
"264",77,"CHLOROPHTHALMIDAE",1.5,22111.7,0.0068
"265",77,"POLITOLANA POLITA",1.5,22111.7,0.0068
"266",77,"MOLLUSCA SHELL",1.2,22111.7,0.0054
"267",77,"AMPELISCIDAE",1,22111.7,0.0045
"268",77,"CYCLOCARDIA SP",1,22111.7,0.0045
"269",77,"ENGRAULIDAE",1,22111.7,0.0045
"270",77,"PLASTIC",1,22111.7,0.0045
"271",77,"LOLLIGUNCULA BREVIS",0.9,22111.7,0.0041
"272",77,"ZOSTERA MARINA",0.9,22111.7,0.0041
"273",77,"PALAEMONIDAE",0.8,22111.7,0.0036
"274",77,"PLEURONECTIFORMES LARVAE",0.8,22111.7,0.0036
"275",77,"ULVARIA SUBBIFURCATA",0.8,22111.7,0.0036
"276",77,"ANOMIA SP",0.6,22111.7,0.0027
"277",77,"CIRRIPEDIA",0.5,22111.7,0.0023
"278",77,"CUMACEA",0.5,22111.7,0.0023
"279",77,"SOLENIDAE",0.5,22111.7,0.0023
"280",77,"CIROLANIDAE",0.3,22111.7,0.0014
"281",77,"CTENOPHORA",0.3,22111.7,0.0014
"282",77,"SPIRONTOCARIS SP",0.3,22111.7,0.0014
"283",77,"EMERITA TALPOIDA",0.2,22111.7,9e-04
"284",77,"OVALIPES SP",0.2,22111.7,9e-04
"285",77,"SCYLLARIDAE",0.2,22111.7,9e-04
"286",77,"SCYPHOZOA",0.2,22111.7,9e-04
"287",77,"OPHIDIIDAE",0.1,22111.7,5e-04
"288",77,"EMPTY",0,22111.7,0
